OrderID,Date,CustomerID,Product,Quantity,UnitPrice,GrossAmount,CouponCode,DiscountPercent,DiscountAmount,NetAmount,TotalPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,ReferralSource,OrderYear,OrderMonth,OrderMonthName,OrderDay,DayOfWeek,IsWeekend
ORD200000,2023-01-04,C72649,Monitor,5,570.62,2853.1,SAVE10,0.1,285.31,2567.79,2853.1,928 Main St,Debit Card,Shipped,TRK37947903,7,Instagram,2023,1,January,4,Wednesday,0
ORD200001,2024-08-23,C75739,Phone,2,151.35,302.7,SAVE10,0.1,30.27,272.43,302.7,823 Main St,Online,Shipped,TRK91186779,3,Referral,2024,8,August,23,Friday,0
ORD200002,2024-02-27,C81728,Tablet,5,550.68,2753.4,FREESHIP,0.0,0.0,2753.4,2753.4,512 Main St,Credit Card,Cancelled,TRK42903982,8,Email,2024,2,February,27,Tuesday,0
ORD200003,2023-10-15,C33540,Chair,1,273.19,273.19,SAVE10,0.1,27.32,245.87,273.19,275 Main St,Debit Card,Returned,TRK62788070,5,Facebook,2023,10,October,15,Sunday,1
ORD200004,2025-05-08,C81840,Printer,4,626.01,2504.04,SAVE10,0.1,250.4,2253.64,2504.04,668 Main St,Online,Delivered,TRK29241424,8,Email,2025,5,May,8,Thursday,0
ORD200005,2023-10-23,C37249,Phone,2,245.86,491.72,SAVE10,0.1,49.17,442.55,491.72,934 Main St,Credit Card,Shipped,TRK72976927,4,Instagram,2023,10,October,23,Monday,0
ORD200006,2025-06-17,C83492,Laptop,1,664.42,664.42,SAVE10,0.1,66.44,597.98,664.42,986 Main St,Gift Card,Returned,TRK96417362,6,Facebook,2025,6,June,17,Tuesday,0
ORD200007,2023-05-12,C41460,Monitor,5,149.55,747.75,FREESHIP,0.0,0.0,747.75,747.75,706 Main St,Cash,Shipped,TRK78809193,9,Facebook,2023,5,May,12,Friday,0
ORD200008,2025-04-02,C26817,Phone,2,134.28,268.56,NO_COUPON,0.0,0.0,268.56,268.56,904 Main St,Gift Card,Cancelled,TRK61042692,2,Email,2025,4,April,2,Wednesday,0
ORD200009,2023-11-21,C31946,Desk,4,509.38,2037.52,SAVE10,0.1,203.75,1833.77,2037.52,102 Main St,Credit Card,Shipped,TRK33478363,6,Google,2023,11,November,21,Tuesday,0
ORD200010,2023-12-29,C43443,Tablet,5,625.97,3129.85,WINTER15,0.15,469.48,2660.37,3129.85,333 Main St,Credit Card,Returned,TRK98859248,9,Instagram,2023,12,December,29,Friday,0
ORD200011,2024-02-17,C93861,Monitor,3,49.14,147.42,SAVE10,0.1,14.74,132.68,147.42,831 Main St,Online,Returned,TRK48234646,7,Email,2024,2,February,17,Saturday,1
ORD200012,2024-10-15,C38785,Monitor,2,180.5,361.0,FREESHIP,0.0,0.0,361.0,361.0,179 Main St,Debit Card,Pending,TRK20419991,6,Referral,2024,10,October,15,Tuesday,0
ORD200013,2023-08-30,C88348,Laptop,3,201.49,604.47,FREESHIP,0.0,0.0,604.47,604.47,903 Main St,Credit Card,Returned,TRK81913874,4,Facebook,2023,8,August,30,Wednesday,0
ORD200014,2023-03-27,C98474,Tablet,2,393.33,786.66,SAVE10,0.1,78.67,707.99,786.66,980 Main St,Debit Card,Pending,TRK79186539,3,Instagram,2023,3,March,27,Monday,0
